x,y,raw_value,filtered_value
0,0,0.7101665407920421,0.71
5,0,0.6842614023514839,0.7
11,0,1.1288289368259499,0.84
16,0,1.1573270240674038,0.92
22,0,0.8937026567947756,0.91
27,0,1.0976093409245373,0.95
33,0,1.1723794371873264,1.02
38,0,1.3011517664781311,1.13
44,0,0.9585487564197306,1.1
50,0,0.7544642083778322,1.03
50,5,0.9093341309195,1.03
44,5,0.7409880242284663,0.97
38,5,0.8123197217792013,0.91
33,5,1.2574202698573314,0.91
27,5,1.1633002153879988,0.94
22,5,0.8969278588686649,0.96
16,5,1.3005961174780656,1.03
11,5,1.0033777066057443,1.07
5,5,1.0240735314962297,1.11
0,5,1.0907571343974025,1.08
0,11,1.083560601127152,1.07
5,11,0.6478952631096773,1.03
11,11,0.9593438933390808,0.97
16,11,1.203820948202244,1.0
22,11,1.042063568005755,1.0
27,11,1.2171523356591318,1.03
33,11,1.3862623840169197,1.08
38,11,0.9783381075527126,1.13
44,11,0.9380234725375085,1.13
50,11,0.8605407059762918,1.07
50,16,1.0519398312112227,1.07
44,16,1.2142924015254544,1.07
38,16,0.7983079913486567,0.97
33,16,1.309498424584417,1.03
27,16,0.841774306352137,1.01
22,16,1.2050136460517429,1.07
16,16,0.8743308672045979,1.04
11,16,0.8275962701081976,0.98
5,16,1.042006861000349,1.02
0,16,1.1121054513757118,0.98
0,22,0.7858215483374833,0.97
5,22,1.052126116333364,0.95
11,22,1.147846543108598,0.99
16,22,1.16197907119635,1.05
22,22,1.2475469826189909,1.08
27,22,0.8602041938120562,1.04
33,22,0.7361406958016885,1.03
38,22,1.1925133915801016,1.06
44,22,1.1337688489751572,1.06
50,22,1.1164418204575346,1.05
50,27,1.1018156903158938,1.02
44,27,0.9108029812517252,1.03
38,27,0.988640771045705,1.07
33,27,0.804607406007847,1.01
27,27,1.1057542607379098,1.0
22,27,0.9833126235062914,0.98
16,27,1.3726648186583157,1.03
11,27,1.2086844741619955,1.08
5,27,0.9876730822599521,1.08
0,27,1.018725418213568,1.11
0,33,0.8128658512327783,1.06
5,33,0.9789281803252172,1.06
11,33,1.0855662132736217,1.02
16,33,0.8039726651037784,0.95
22,33,0.8657879692507808,0.93
27,33,1.4768500052251543,1.0
33,33,1.4502325688919293,1.11
38,33,1.1277241597815832,1.14
44,33,1.075564084120783,1.13
50,33,1.1535614917245849,1.19
50,38,0.6747300398759762,1.16
44,38,1.0956766056109397,1.1
38,38,1.1090075998130047,1.04
33,38,1.0138698280405847,1.02
27,38,0.8954034018431992,0.99
22,38,1.1030062236145104,0.98
16,38,0.9733424386194861,1.03
11,38,0.8030525220133564,0.98
5,38,1.1388155280713783,0.99
0,38,1.1123603131162771,1.0
0,44,1.5759651989968095,1.12
5,44,0.8243887866234578,1.07
11,44,1.1378904491374142,1.1
16,44,0.7387733446141908,1.09
22,44,0.9157689314640658,1.05
27,44,1.0957817610876146,1.05
33,44,0.6548723528617004,0.89
38,44,1.2504098645458488,0.97
44,44,1.0868719998261835,0.96
50,44,1.0797430487018072,1.01
50,50,1.1309904370269692,1.05
44,50,1.045499745107593,1.04
38,50,1.3622239097635032,1.16
33,50,1.3799804973525263,1.18
27,50,1.1400141631745426,1.19
22,50,1.070189014166034,1.19
16,50,1.0550776455053488,1.18
11,50,0.7852869581558902,1.13
5,50,0.9277001546521207,1.06
0,50,1.1318215763892918,1.02

Peak Value,X,Y
1.19,50,33
